species,behav_cat,taxon_fr,family_fr,group_fr,name_fr,name_latin,taxon_eng,family_eng,group_eng,name_eng,name_spa
MESSPP,behavMam,Mammifere marin,Ziphiidae,Mesoplodon,Mesoplodon ind.,Mesoplodon sp.,Marine mammal,Ziphiidae,Mesoplodon,Mesoplodont whales sp.,Ballena de pico spp
MONMON,behavMam,Mammifere marin,Phocidae,Phoque,Phoque moine,Monachus monachus,Marine mammal,Phocidae,Seal,Mediterranean Monk Seal,
ORCORC,behavMam,Mammifere marin,Globicephalinae,Grand globicephaline,Orque,Orcinus orca,Marine mammal,Globicephalinae,Large globicephalinae,Killer whale,Orca
PEPELE,behavMam,Mammifere marin,Globicephalinae,Petit globicephaline,Peponocephale,Peponocephala electra,Marine mammal,Globicephalinae,Small globicephalinae,Melon-headed whale,
PEPFER,behavMam,Mammifere marin,Globicephalinae,Petit globicephaline,Peponocephale / orque pygmee,Peponocephala / Feresa sp.,Marine mammal,Globicephalinae,Small globicephalinae,Melon-headed / Pygmy killer whale,
PHOCID,behavMam,Mammifere marin,Phocidae,Phoque,Phoque ind.,Phocidae sp.,Marine mammal,Phocidae,Seal,Seal sp.,foca spp
PHOPHO,behavMam,Mammifere marin,Phocoenidae,Phocoenidae,Marsouin commun,Phocoena phocoena,Marine mammal,Phocoenidae,Phocoeniid,Harbour porpoise,Marsopa comun
PHOVIT,behavMam,Mammifere marin,Phocidae,Phoque,Phoque veau-marin,Phoca vitulina,Marine mammal,Phocidae,Seal,Harbor seal (Common seal),foca comun
PHYMAC,behavMam,Mammifere marin,Cachalot,Physeteridae,Cachalot macrocephale,Physeter macrocephalus,Marine mammal,Cachalot,Physeteriid,Sperm whale,Cachalote
PSECRA,behavMam,Mammifere marin,Globicephalinae,Grand globicephaline,Pseudorque,Pseudorca crassidens,Marine mammal,Globicephalinae,Large globicephalinae,False killer whale,Orca bastarda
SMACET,behavMam,Mammifere marin,Cetacea,Cetace ind.,Petit cetace ind.,Small Cetacea sp.,Marine mammal,Cetacea,Cetacean unidentif.,Small Cetacea sp.,Delfin / marsopa / Cachalote pigmeo
SMADEL,behavMam,Mammifere marin,Delphininae,Petit delphinine,Petit delphinine ind.,Small delphininae sp.,Marine mammal,Delphininae,Small delphininae,Small delphininae sp.,Pequenito Delfin spp
SOTGUI,behavMam,Mammifere marin,Delphininae,Petit delphinine,Dauphin de Guyane,Sotalia guianensis,Marine mammal,Delphininae,Small delphininae,Tucuxi,
SOUCHI,behavMam,Mammifere marin,Delphininae,Grand delphinine,Dauphin a bosse,Sousa chinensis,Marine mammal,Delphininae,Large delphininae,Indo-Pacific hump-backed dolphin,
STEATT,behavMam,Mammifere marin,Delphininae,Petit delphinine,Dauphin tachete pantropical,Stenella attenuata,Marine mammal,Delphininae,Small delphininae,Pantropical spotted dolphin,
STEBRE,behavMam,Mammifere marin,Delphininae,Grand delphinine,Steno,Steno bredanensis,Marine mammal,Delphininae,Large delphininae,Rough-toothed dolphin,
STECLY,behavMam,Mammifere marin,Delphininae,Petit delphinine,Dauphin clymene,Stenella clymene,Marine mammal,Delphininae,Small delphininae,Clymene dolphin (Short-snouted spinner dolphin),
STECOE,behavMam,Mammifere marin,Delphininae,Petit delphinine,Dauphin bleu et blanc,Stenella coeruleoalba,Marine mammal,Delphininae,Small delphininae,Striped dolphin,Delfin listado
STEDEL,behavMam,Mammifere marin,Delphininae,Petit delphinine,Dauphin bleu et blanc / commun,Stenella / Delphinus sp.,Marine mammal,Delphininae,Small delphininae,Striped / Common dolphin,
STEFRO,behavMam,Mammifere marin,Delphininae,Petit delphinine,Dauphin tachete de l'Atlantique,Stenella frontalis,Marine mammal,Delphininae,Small delphininae,Atlantic spotted dolphin,
STELON,behavMam,Mammifere marin,Delphininae,Petit delphinine,Dauphin a long bec,Stenella longirostris,Marine mammal,Delphininae,Small delphininae,Spinner dolphin (Long-snouter spinner dolphin),
TRIMAN,behavMam,Mammifere marin,Sirenien,Trichechidae,Lamentin,Trichechus manatus,Marine mammal,Sirenian,Trichechiid,Manatee,
TURADU,behavMam,Mammifere marin,Delphininae,Grand delphinine,Grand dauphin indo-pacifique,Tursiops aduncus,Marine mammal,Delphininae,Large delphininae,Indo-Pacific Bottlenose dolphin,
TURSPP,behavMam,Mammifere marin,Delphininae,Grand delphinine,Grand dauphin oceanique / indo-pacifique,Tursiops sp.,Marine mammal,Delphininae,Large delphininae,Indo-Pacific / Common Bottlenose dolphin,
TURTRU,behavMam,Mammifere marin,Delphininae,Grand delphinine,Grand dauphin,Tursiops truncatus,Marine mammal,Delphininae,Large delphininae,Bottlenose dolphin,Delfin mular
ZIPCAV,behavMam,Mammifere marin,Ziphiidae,Autre baleine a bec,Baleine a bec de Cuvier,Ziphius cavirostris,Marine mammal,Ziphiidae,Other beaked whale,Cuvier's beaked whale,Zifio comun
ZIPSPP,behavMam,Mammifere marin,Ziphiidae,Baleine a bec ind.,Baleine a bec ind.,Ziphiidae sp.,Marine mammal,Ziphiidae,Other beaked whale,Ziphiid sp. (Beaked whale),Zifio spp
DEADBI,,Mort,Mort,Dead,Oiseau mort,Mortem Aves,Dead,Dead,Dead,Dead Bird,Pajaro muerto
DEADMM,,Mort,Mort,Dead,Mammifere marin mort,Mortem Mammalia,Dead,Dead,Dead,Dead marine mammal ,Mamifero marino muerto
ANASPP,behavBird,Oiseau cotier,Anatidae,Canard,Canard ind.,Anas / Aythya / Melanitta sp.,Coastal Bird,Anatidae,Duck,Duck sp.,Carricero spp
ANATID,behavBird,Oiseau cotier,Anatidae,Canard,Anatide ind.,Anatidae sp.,Coastal Bird,Anatidae,Anatiid,Anatiid sp.,
ANSSPP,behavBird,Oiseau cotier,Anatidae,Oie,Oie ind.,Anser sp.,Coastal Bird,Anatidae,Goose,Goose sp.,
BRABER,behavBird,Oiseau cotier,Anatidae,Oie,Bernache cravant,Branta bernicla,Coastal Bird,Anatidae,Goose,Brent Goose,Barnacla Carinegra
GAVADA,behavBird,Oiseau cotier,Gaviidae,Plongeon,Plongeon a bec blanc,Gavia adamsii,Coastal Bird,Gaviidae,Diver,Yellow-billed Diver,Carricero poliglota
GAVARC,behavBird,Oiseau cotier,Gaviidae,Plongeon,Plongeon arctique,Gavia arctica,Coastal Bird,Gaviidae,Diver,Black-throated Diver,Colimbo artico
GAVIMM,behavBird,Oiseau cotier,Gaviidae,Plongeon,Plongeon imbrin,Gavia immer,Coastal Bird,Gaviidae,Diver,Great Northern Diver,Colimbo grande
GAVSPP,behavBird,Oiseau cotier,Gaviidae,Plongeon,Plongeon ind.,Gavia sp.,Coastal Bird,Gaviidae,Diver,Diver sp.,Colimbo spp
GAVSTE,behavBird,Oiseau cotier,Gaviidae,Plongeon,Plongeon catmarin,Gavia stellata,Coastal Bird,Gaviidae,Diver,Red-throated Diver,Colimbo chico
LARGRE,behavBird,Oiseau cotier,Podicipedidae,Grebe,Grand grebe ind.,Podiceps sp.,Coastal Bird,Podicipitidae,Grebe,Large grebe sp.,
MELFUS,behavBird,Oiseau cotier,Anatidae,Macreuse,Macreuse brune,Melanitta fusca,Coastal Bird,Anatidae,Scoter,White-winged scoter,Negron especulado
MELNIG,behavBird,Oiseau cotier,Anatidae,Macreuse,Macreuse noire,Melanitta nigra,Coastal Bird,Anatidae,Scoter,Black scoter,Negron comun
MELSPP,behavBird,Oiseau cotier,Anatidae,Macreuse,Macreuse ind.,Melanitta sp.,Coastal Bird,Anatidae,Scoter,Scoter sp.,Negron spp
MERSER,behavBird,Oiseau cotier,Anatidae,Harle,Harle huppe,Mergus serrator,Coastal Bird,Anatidae,Merganser,Red-breasted Merganser,Serreta mediana
MERSPP,behavBird,Oiseau cotier,Anatidae,Harle,Harle ind.,Mergus sp.,Coastal Bird,Anatidae,Merganser,Merganser sp.,
PODCRI,behavBird,Oiseau cotier,Podicipedidae,Grebe,Grebe huppe,Podiceps cristatus,Coastal Bird,Podicipitidae,Grebe,Great crested grebe,Somormujo lavanco
PODGRI,behavBird,Oiseau cotier,Podicipedidae,Grebe,Grebe jougris,Podiceps griseus,Coastal Bird,Podicipitidae,Grebe,Red-necked grebe,Grebio
PODSPP,behavBird,Oiseau cotier,Podicipedidae,Grebe,Grebe ind.,Podiceps sp.,Coastal Bird,Podicipitidae,Grebe,Grebe sp.,Zampullin spp
SMAGRE,behavBird,Oiseau cotier,Podicipedidae,Grebe,Petit grebe ind.,Podiceps sp.,Coastal Bird,Podicipitidae,Grebe,Small grebe sp.,
SOMMOL,behavBird,Oiseau cotier,Anatidae,Canard,Eider a duvet,Somateria mollissima,Coastal Bird,Anatidae,Duck,Eider duck,Eider comun
TADTAD,behavBird,Oiseau cotier,Anatidae,Canard,Tadorne de Belon,Tadorna tadorna,Coastal Bird,Anatidae,Duck,Common shelduck,Tarro blanco
ALCSPP,behavBird,Oiseau marin,Alcidae,Alcide ind.,Alcide ind.,Alcidae sp.,Seabird,Alcidae,Auk,Auk sp.,Alcido spp
ALCTOR,behavBird,Oiseau marin,Alcidae,Pingouin ou Guillemot,Pingouin torda,Alca torda,Seabird,Alcidae,Razobill or Guillemot,Razorbill,Alca spp
ALCURI,behavBird,Oiseau marin,Alcidae,Pingouin ou Guillemot,Pingouin ou Guillemot,Alca / Uria sp.,Seabird,Alcidae,Razobill or Guillemot,Razobill or Guillemot,Alacarao
ALLALL,behavBird,Oiseau marin,Alcidae,Autre Alcide,Mergule nain,Alle Alle,Seabird,Alcidae,Other auk,Little auk,Mergulo atlantico
ANOMIN,behavBird,Oiseau marin,Sternidae,Noddi,Noddi noir,Anous minutus,Seabird,Sternidae,Noddy,Black noddy,
ANOSPP,behavBird,Oiseau marin,Sternidae,Noddi,Noddi marron ind.,Anous sp.,Seabird,Sternidae,Noddy,Noddy sp.,
ANOSTO,behavBird,Oiseau marin,Sternidae,Noddi,Noddi brun,Anous stolidus,Seabird,Sternidae,Noddy,Brown Noddy,
BLAGUL,behavBird,Oiseau marin,Laridae,Goeland noir,Goeland noir ind.,Larus sp.,Seabird,Laridae,Black gull,Large black gull sp.,
BROPET,behavBird,Oiseau marin,Procellariidae,Procellaride marron,Grand procellaride marron,Brown procellariidae sp.,Seabird,Procellariidae,Brown procellariid,Brown petrel / shearwater sp.,
BROTER,behavBird,Oiseau marin,Sternidae,Sterne brune,Sterne fuligineuse / bridee,Onychoprion sp.,Seabird,Sternidae,Brown tern,Sooty / Bridled Tern,
BULBUL,behavBird,Oiseau marin,Procellariidae,Procellaride marron,Petrel de Bulwer,Bulweria bulwerii,Seabird,Procellariidae,Brown procellariid,Bulwer's petrel,
CALDIO,behavBird,Oiseau marin,Procellariidae,Grand puffin,Puffin cendre / de Scopoli,Calonectris diomedea,Seabird,Procellariidae,Large shearwater,Cory / Scopoli's shearwater,Pardela cenicienta
CATSKU,behavBird,Oiseau marin,Stercorariidae,Autre Labbe,Grand labbe,Catharacta skua,Seabird,Stercorariidae,Other skua,Skua,Pagalo grande
CHLHYB,behavBird,Oiseau marin,Sternidae,Sterne grise,Guifette moustac,Chlidonias hybridus,Seabird,Sternidae,Grey tern,Wiskered tern,Fumarel cariblanco
CHLNIG,behavBird,Oiseau marin,Sternidae,Sterne grise,Guifette noire,Chlidonias niger,Seabird,Sternidae,Grey tern,Black Tern,Fumarel comun
CHLSPP,behavBird,Oiseau marin,Sternidae,Sterne grise,Guifette ind.,Chlidonias sp.,Seabird,Sternidae,Grey tern,Marsh tern sp.,Fumarel spp
CORMSP,behavBird,Oiseau marin,Phalacrocoracidae,Cormoran,Cormoran ind.,Phalacrocorax sp.,Seabird,Phalacrocoracidae,Cormorant,Cormorant or shag sp.,Cormoran spp
DIOSPP,behavBird,Oiseau marin,Diomedeidae,Albatros,Albatros ind.,Diomedeidae sp.,Seabird,Diomedeidae,Albatros,Albatross sp.,
FRAARC,behavBird,Oiseau marin,Alcidae,Autre Alcide,Macareux moine,Fratercula arctica,Seabird,Alcidae,Other auk,Atlantic puffin,Frailecillo spp
FREARI,behavBird,Oiseau marin,Fregatidae,Fregate,Fregate ariel,Fregata ariel,Seabird,Fregatidae,Frigatebird,Lesser frigatebird,
FREGRA,behavBird,Oiseau marin,Hydrobatidae,Oceanite,Oceanite a ventre blanc,Fregetta grallaria,Seabird,Hydrobatidae,Storm-petrel,White-bellied Storm Petrel,
FREMAG,behavBird,Oiseau marin,Fregatidae,Fregate,Fregate superbe,Fregata magnificens,Seabird,Fregatidae,Frigatebird,Magnificent Frigatebird,
FREMIN,behavBird,Oiseau marin,Fregatidae,Fregate,Grande fregate,Fregata minor,Seabird,Fregatidae,Frigatebird,Great frigatebird,
FRESPP,behavBird,Oiseau marin,Fregatidae,Fregate,Fregate ind.,Fregata sp.,Seabird,Fregatidae,Frigatebird,Frigatebird sp.,
FRETRO,behavBird,Oiseau marin,Hydrobatidae,Oceanite,Oceanite a ventre noir,Fregetta tropica,Seabird,Hydrobatidae,Storm-petrel,Black-bellied Storm Petrel,
FULGLA,behavBird,Oiseau marin,Procellariidae,Fulmar,Fulmar boreal,Fulmarus glacialis,Seabird,Procellariidae,Fulmar,Northern fulmar,Fulmar boreal
GREGUL,behavBird,Oiseau marin,Laridae,Goeland gris,Goeland gris ind.,Larus sp.,Seabird,Laridae,Grey gull,Large grey gull sp.,
GREPET,behavBird,Oiseau marin,Procellariidae,Petrel gris,Petrel gris ind.,Pterodroma  sp.,Seabird,Procellariidae,Grey petrel,Grey petrel sp.,
GRETER,behavBird,Oiseau marin,Sternidae,Sterne grise,Sterne grise ind.,Sternidae sp.,Seabird,Sternidae,Grey tern,Grey tern sp.,
GYGALB,behavBird,Oiseau marin,Sternidae,Sterne grise,Gygis blanche,Gygis sp.,Seabird,Sternidae,Grey tern,White Tern,
HYDPEL,behavBird,Oiseau marin,Hydrobatidae,Oceanite,Oceanite tempete,Hydrobates pelagicus,Seabird,Hydrobatidae,Storm-petrel,European storm-petrel,Paino comun
LARARG,behavBird,Oiseau marin,Laridae,Goeland gris,Goeland argente,Larus argentatus,Seabird,Laridae,Grey gull,European herring gull,Gaviota argentea
LARATR,behavBird,Oiseau marin,Laridae,Mouette,Mouette atricille,Leucophaeus atricilla,Seabird,Laridae,Small gull,Laughing  gull,
LARAUD,behavBird,Oiseau marin,Laridae,Moyen goeland gris,Goeland d'Audouin,Ichthyaetus audouinii,Seabird,Laridae,Medium grey gull,Audouin's gull,Gaviota de Audouin
LARCAC,behavBird,Oiseau marin,Laridae,Goeland gris,Goeland pontique,Larus cachinnans,Seabird,Laridae,Grey gull,Caspian gull,Gaviota de patas amarillas
LARCAN,behavBird,Oiseau marin,Laridae,Moyen goeland gris,Goeland cendre,Larus canus,Seabird,Laridae,Medium grey gull,Common gull,Gaviota cana
LARFUS,behavBird,Oiseau marin,Laridae,Goeland noir,Goeland brun,Larus fuscus,Seabird,Laridae,Black gull,Lesser black-backed gull,Gaviota sombria
LARGEN,behavBird,Oiseau marin,Laridae,Mouette,Goeland railleur,Chroicocephalus genei,Seabird,Laridae,Small gull,Slender-billed gull,
LARGLA,behavBird,Oiseau marin,Laridae,Autre goeland,Goeland a ailes blanches,Larus glaucoides,Seabird,Laridae,Other gull,Iceland gull,Gaviota groenlandesa
LARGUL,behavBird,Oiseau marin,Laridae,Autre goeland,Grand Goeland ind.,Large laridae sp.,Seabird,Laridae,Other gull,Large gull sp.,Grande gaviota spp
LARHYP,behavBird,Oiseau marin,Laridae,Autre goeland,Goeland bourgmestre,Larus hyperboreus,Seabird,Laridae,Other gull,Glaucous gull,Gavion hiperboreo
LARMAR,behavBird,Oiseau marin,Laridae,Goeland noir,Goeland marin,Larus marinus,Seabird,Laridae,Black gull,Great black-backed gull,Gavion atlantico
LARMEL,behavBird,Oiseau marin,Laridae,Mouette,Mouette melanocephale,Ichthyaetus melanocephalus,Seabird,Laridae,Small gull,Mediterranean gull,Gaviota cabecinegra
LARMIC,behavBird,Oiseau marin,Laridae,Goeland gris,Goeland leucophee,Larus michahellis,Seabird,Laridae,Grey gull,Yellow-legged gull,Gaviota patiamarilla
LARMIN,behavBird,Oiseau marin,Laridae,Mouette,Mouette pygmee,Hydrocoloeus minutus,Seabird,Laridae,Small gull,Little gull,Gaviota enana
LARNOV,behavBird,Oiseau marin,Laridae,Mouette,Mouette argentee,Chroicocephalus novaehollandiae,Seabird,Laridae,Small gull,Silver gull,
LARPIP,behavBird,Oiseau marin,Laridae,Mouette,Mouette de Franklin,Leucophaeus pipixcan,Seabird,Laridae,Small gull,Franklin's gull,Gaviota Pipizcan
LARRID,behavBird,Oiseau marin,Laridae,Mouette,Mouette rieuse,Chroicocephalus ridibundus,Seabird,Laridae,Small gull,Black-headed gull,Gaviota reidora
LARSAB,behavBird,Oiseau marin,Laridae,Mouette,Mouette de Sabine,Xema sabini,Seabird,Laridae,Small gull,Sabine's gull,Gaviota de Sabine
LARSHE,behavBird,Oiseau marin,Procellariidae,Grand puffin,Grand puffin ind.,Calonectris / Ardenna sp.,Seabird,Procellariidae,Large shearwater,Large shearwater sp.,
LARSPP,behavBird,Oiseau marin,Laridae,Laride ind.,Laride ind.,Laridae sp.,Seabird,Laridae,Lariid ,Lariid sp.,Gaviota spp
MEDGUL,behavBird,Oiseau marin,Laridae,Moyen goeland gris,Petit goeland gris ind.,Medium laridae sp.,Seabird,Laridae,Medium grey gull,Medium gull sp.,
MEDTER,behavBird,Oiseau marin,Sternidae,Sterne grise,Sterne moyenne ind.,Sterna sp.,Seabird,Sternidae,Grey tern,Medium tern sp.,
OCELEU,behavBird,Oiseau marin,Hydrobatidae,Oceanite,Oceanite culblanc,Oceanodroma leucorhoa,Seabird,Hydrobatidae,Storm-petrel,Leach's storm-petrel,Paino de Leach
OCEOCE,behavBird,Oiseau marin,Hydrobatidae,Oceanite,Oceanite de Wilson,Oceanites oceanicus,Seabird,Hydrobatidae,Storm-petrel,Wilson's storm-petrel,Paino Wilson
OCESPP,behavBird,Oiseau marin,Hydrobatidae,Oceanite,Oceanite ind.,Hydrobatidae sp.,Seabird,Hydrobatidae,Storm-petrel,Storm-petrel sp.,Paino spp
PELOCC,behavBird,Oiseau marin,Pelecanidae,Pelican,Pelican brun,Pelecanus occidentalis,Seabird,Pelecanidae,Pelican,Brown Pelican,
PELSPP,behavBird,Oiseau marin,Pelecanidae,Pelican,Pelican ind.,Pelecanus sp.,Seabird,Pelecanidae,Pelican,Pelican sp.,
PETSPP,behavBird,Oiseau marin,Procellariidae,Petrel ind.,Petrel ind.,Pterodroma / Pseudobulweria sp.,Seabird,Procellariidae,Petrel,Petrel sp.,
PHAAET,behavBird,Oiseau marin,Phaethontidae,Phaeton,Phaeton a bec rouge,Phaethon aethereus,Seabird,Phaethontidae,Tropicbird,Red-billed Tropicbird,
PHAARI,behavBird,Oiseau marin,Phalacrocoracidae,Cormoran,Cormoran huppe,Phalacrocorax aristotelis,Seabird,Phalacrocoracidae,Cormorant,European shag,Cormoran monudo
PHACAR,behavBird,Oiseau marin,Phalacrocoracidae,Cormoran,Grand cormoran,Phalacrocorax carbo,Seabird,Phalacrocoracidae,Cormorant,Great cormorant,Cormoran grande
PHAFUL,behavBird,Oiseau marin,Charadriidae,Limicole,Phalarope a bec large,Phalaropus fulicarius,Seabird,Shorebird,Charadriidae,Grey Phalarope,Falaropo picogrueso
PHALEP,behavBird,Oiseau marin,Phaethontidae,Phaeton,Phaeton a bec jaune,Phaethon lepturus,Seabird,Phaethontidae,Tropicbird,White-tailed Tropicbird,
PHAPYG,behavBird,Oiseau marin,Phalacrocoracidae,Cormoran,Cormoran pygmee,Phalacrocorax pygmeus,Seabird,Phalacrocoracidae,Cormorant,Pygmy cormorant,
PHARUB,behavBird,Oiseau marin,Phaethontidae,Phaeton,Phaeton a brins rouges,Phaethon rubricauda,Seabird,Phaethontidae,Tropicbird,Red-tailed Tropicbird,
PHASPP,behavBird,Oiseau marin,Phaethontidae,Phaeton,Phaeton ind.,Phaethon sp.,Seabird,Phaethontidae,Tropicbird,Tropicbird sp.,
PROCER,behavBird,Oiseau marin,Sternidae,Noddi,Noddi bleu,Procelsterna cerulea,Seabird,Sternidae,Noddy,Blue Noddy,
PROSPP,behavBird,Oiseau marin,Procellariidae,Procellaride ,Procellaride ind.,Procellariidae sp.,Seabird,Procellariidae,Procellariid,Procellariid sp.,
PSEROS,behavBird,Oiseau marin,Procellariidae,Procellaride marron,Petrel de Tahiti,Pseudobulweria rostrata,Seabird,Procellariidae,Brown procellariid,Tahiti petrel,
PTEBAR,behavBird,Oiseau marin,Procellariidae,Procellaride marron,Petrel de Barau,Pterodroma baraui,Seabird,Procellariidae,Brown procellariid,Barau's petrel,
PUFCAR,behavBird,Oiseau marin,Procellariidae,Puffin,Puffin a pieds pales,Ardenna carneipes,Seabird,Procellariidae,Shearwater,Flesh-footed Shearwater,
PUFGRA,behavBird,Oiseau marin,Procellariidae,Grand puffin,Puffin majeur,Ardenna gravis,Seabird,Procellariidae,Large shearwater,Great shearwater,Pardela capirotada
PUFGRI,behavBird,Oiseau marin,Procellariidae,Grand puffin,Puffin fuligineux,Ardenna grisea,Seabird,Procellariidae,Large shearwater,Sooty shearwater,Pardela sombria
PUFLHE,behavBird,Oiseau marin,Procellariidae,Puffin,Puffin d'Audubon,Puffinus lherminieri,Seabird,Procellariidae,Shearwater,Audubon's shearwater,
PUFMAU,behavBird,Oiseau marin,Procellariidae,Petit puffin,Puffin des Baleares,Puffinus mauretanicus,Seabird,Procellariidae,Small shearwater,Mediterranean shearwater,Pardela balear
PUFPAC,behavBird,Oiseau marin,Procellariidae,Puffin,Puffin du Pacifique,Ardenna pacifica,Seabird,Procellariidae,Shearwater,Wedge-tailed shearwater,
PUFPUF,behavBird,Oiseau marin,Procellariidae,Petit puffin,Puffin des anglais,Puffinus puffinus,Seabird,Procellariidae,Small shearwater,Manx shearwater,Pardela pichoneta
PUFSPP,behavBird,Oiseau marin,Procellariidae,Puffin,Puffin ind.,Puffinus / Ardenna / Calonectris sp.,Seabird,Procellariidae,Shearwater,Shearwater sp.,Pardela spp
PUFYEL,behavBird,Oiseau marin,Procellariidae,Petit puffin,Puffin yelkouan,Puffinus yelkouan,Seabird,Procellariidae,Small shearwater,Yelkouan shearwater,Pardelas mediterranea
RISTRI,behavBird,Oiseau marin,Laridae,Mouette,Mouette tridactyle,Rissa tridactyla,Seabird,Laridae,Small gull,Kittiwake gull,Gaviota tridactila
SMAGUL,behavBird,Oiseau marin,Laridae,Mouette,Mouette ind.,Small laridae sp.,Seabird,Laridae,Small gull,Small gull sp.,Pequenita gaviota spp
SMASHE,behavBird,Oiseau marin,Procellariidae,Petit puffin,Petit Puffin ind.,Puffinus sp.,Seabird,Procellariidae,Small shearwater,Small shearwater sp.,
LARTER,behavBird,Oiseau marin,Sternidae,Sterne grise,Grande sterne grise ind.,Thalasseus sp.,Seabird,Sternidae,Grey tern,large tern sp.,
SMATER,behavBird,Oiseau marin,Sternidae,Sterne grise,Petite sterne grise ind.,Sternula / Chlidonias sp.,Seabird,Sternidae,Grey tern,Small tern sp.,
STEALB,behavBird,Oiseau marin,Sternidae,Sterne grise,Sterne naine,Sternula albifrons,Seabird,Sternidae,Grey tern,Little Tern,Charrancito
STEANA,behavBird,Oiseau marin,Sternidae,Sterne brune,Sterne bridee,Onychoprion anaethetus,Seabird,Sternidae,Brown tern,Bridled Tern,
STEARC,behavBird,Oiseau marin,Sternidae,Sterne grise,Sterne arctique,Sterna paradisaea,Seabird,Sternidae,Grey tern,Artic tern,Charran artico
STEBEN,behavBird,Oiseau marin,Sternidae,Sterne grise,Sterne voyageuse,Thalasseus bengalensis,Seabird,Sternidae,Grey tern,Lesser crested tern,
STECAS,behavBird,Oiseau marin,Sternidae,Sterne grise,Sterne caspienne,Hydroprogne caspia,Seabird,Sternidae,Grey tern,Caspian tern,
STEDOU,behavBird,Oiseau marin,Sternidae,Sterne grise,Sterne de Dougall,Sterna dougallii,Seabird,Sternidae,Grey tern,Roseate Tern,Charran Rosado
STEDUS,behavBird,Oiseau marin,Stercorariidae,Petit labbe,Labbe a longue queue,Stercorarius longicaudus,Seabird,Stercorariidae,Small skua,Long-tailed Skua,Pagalo rabero
STEFUS,behavBird,Oiseau marin,Sternidae,Sterne brune,Sterne fuligineuse,Onychoprion fuscatus,Seabird,Sternidae,Brown tern,Sooty Tern,
STEHIR,behavBird,Oiseau marin,Sternidae,Sterne grise,Sterne pierregarin,Sterna hirundo,Seabird,Sternidae,Grey tern,Common Tern,Charran comun
STEMAX,behavBird,Oiseau marin,Sternidae,Sterne grise,Sterne royale,Thalasseus maximus,Seabird,Sternidae,Grey tern,Royal Tern,
STENIL,behavBird,Oiseau marin,Sternidae,Sterne grise,Sterne hansel,Sterna nilotica,Seabird,Sternidae,Grey tern,Gull-billed tern,Pagaza piconegra
STEPAR,behavBird,Oiseau marin,Stercorariidae,Petit labbe,Labbe parasite,Stercorarius parasiticus,Seabird,Stercorariidae,Small skua,Parasitic jaeger,Pagalo parasito
STEPOM,behavBird,Oiseau marin,Stercorariidae,Petit labbe,Labbe pomarin,Stercorarius pomarinus,Seabird,Stercorariidae,Small skua,Pomarine skua,Pagalo pomarino
STERCO,behavBird,Oiseau marin,Stercorariidae,Petit labbe,Labbe ind.,Stercorarius sp.,Seabird,Stercorariidae,Small skua,Jaeger sp.,
STESAN,behavBird,Oiseau marin,Sternidae,Sterne grise,Sterne caugek,Thalasseus sandvicensis,Seabird,Sternidae,Grey tern,Sandwich Tern,Charran patinegro
STESPP,behavBird,Oiseau marin,Sternidae,Sterne,Sterne ind.,Sternidae sp.,Seabird,Sternidae,Tern,Tern sp.,Charran spp
SULBAS,behavBird,Oiseau marin,Sulidae,Fou,Fou de Bassan,Morus bassanus,Seabird,Sulidae,Booby,Northern gannet,Alcatraz
SULDAC,behavBird,Oiseau marin,Sulidae,Fou,Fou masque,Sula dactylatra,Seabird,Sulidae,Booby,Blue-faced booby,
SULLEU,behavBird,Oiseau marin,Sulidae,Fou,Fou brun,Sula leucogaster,Seabird,Sulidae,Booby,Brown booby,
SULSPP,behavBird,Oiseau marin,Sulidae,Fou,Petit fou ind.,Sula sp.,Seabird,Sulidae,Booby,Booby sp.,
SULSUL,behavBird,Oiseau marin,Sulidae,Fou,Fou a pieds rouges,Sula sula,Seabird,Sulidae,Booby,Red-footed booby,
THACHL,behavBird,Oiseau marin,Diomedeidae,Albatros,Albatros a bec jaune,Thalassarche chlororynchos,Seabird,Diomedeidae,Albatros,Yellow-nosed Albatros,Albatros Clororrinco
THAMEL,behavBird,Oiseau marin,Diomedeidae,Albatros,Albatros a sourcils noirs,Thalassarche melanophris,Seabird,Diomedeidae,Albatros,Black-browed Albatros,Albatros Ojeroso
URIAAL,behavBird,Oiseau marin,Alcidae,Pingouin ou Guillemot,Guillemot de troil,Uria aalge,Seabird,Alcidae,Razobill or Guillemot,Common guillemot,Arao comun
MICFUS,behavBird,Oiseau marin,Laridae,Autre goeland,Goeland ardoise ind.,Larus michahellis / fuscus,Seabird,Laridae,Other gull,Slategray gull sp,Gaviota pizarra spp
