species,behav_cat,taxon_fr,family_fr,group_fr,name_fr,name_latin,taxon_eng,family_eng,group_eng,name_eng,name_spa
CEPGRY,behavBird,Oiseau marin,Alcidae,Autre Alcide,Guillemot a miroir,Cepphus grylle,Seabird,Alcidae,Other auk,Black guillemot,Arao aliblanco
SBIRSP,behavBird,Oiseau marin,Oiseau marin,Oiseau ind.,Oiseau marin ind.,Aves sp.,Seabird,Seabird,Seabird unid.,Seabird sp.,ave marina sp.
ACCNIS,behavBird,Oiseau terrestre,Accipitridae,Rapace,Epervier d'Europe,Accipiter nisus,Land Bird,Accipitridae,Bird of prey,European Sparrowhawk,Gavilan comun
ACRPAL,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Rousserolle verderolle,Acrocephalus palustris,Land Bird,Other bird,Passerine,Marsh warbler,Carricero poliglota
ACRSCH,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Phragmite des joncs,Acrocephalus schoenobaenus,Land Bird,Other bird,Passerine,Sedge Warbler,Carricerin comun
ACRSCI,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Rousserolle effarvate,Acrocephalus scirpaceus,Land Bird,Other bird,Passerine,Eurasian Reed Warbler,Carricero comun
ACRSPP,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Rousserolle ind.,Acrocephalus sp.,Land Bird,Other bird,Passerine,Warbler sp.,Carricero spp
ACTHYP,behavBird,Oiseau terrestre,Scolopacidae,Limicole,Chevalier guignette,Actitis hypoleucos,Land Bird,Scolopacidae,Shorebird,Common sandpiper,Andarrios chico
ALAARV,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Alouette des champs,Alauda arvensis,Land Bird,Other bird,Passerine,Eurasian skylark,Alondra comun
ALASPP,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Alouette ind.,Alauda sp.,Land Bird,Other bird,Passerine,Skylark sp.,Alondra spp
ANAACU,behavBird,Oiseau terrestre,Anatidae,Canard,Canard pilet,Anas acuta,Land Bird,Anatidae,Duck,Northern Pintail,Anade rabudo
ANACLY,behavBird,Oiseau terrestre,Anatidae,Canard,Canard souchet,Anas clypeata,Land Bird,Anatidae,Duck,Northern Shoveler,Pato cuchara
ANACRE,behavBird,Oiseau terrestre,Anatidae,Canard,Sarcelle d'hiver,Anas crecca,Land Bird,Anatidae,Duck,Common teal,Cerceta comun
ANAPEN,behavBird,Oiseau terrestre,Anatidae,Canard,Canard siffleur,Anas penelope,Land Bird,Anatidae,Duck,Eurasian Wigeon,Anade silbon
ANAPLA,behavBird,Oiseau terrestre,Anatidae,Canard,Canard colvert,Anas platyrhynchos,Land Bird,Anatidae,Duck,Mallard,Anade real
ANASTR,behavBird,Oiseau terrestre,Anatidae,Canard,Canard chipeau,Anas strepera,Land Bird,Anatidae,Duck,Gadwall,Anade friso
ANSALB,behavBird,Oiseau terrestre,Anatidae,Oie,Oie rieuse,Anser albifrons,Land Bird,Anatidae,Goose,Greater White-fronted Goose,Ansar careto
ANSANS,behavBird,Oiseau terrestre,Anatidae,Oie,Oie cendree,Anser anser,Land Bird,Anatidae,Goose,Greylag Goose,Ansar comon
ANTPET,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Pipit maritime,Anthus petrosus,Land Bird,Other bird,Passerine,Eurasian rock pipit,Bisbita costero
ANTPRA,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Pipit farlouse,Anthus pratensis,Land Bird,Other bird,Passerine,Meadow pipit,Bisbita comun
ANTSPP,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Pipit ind.,Anthus sp.,Land Bird,Other bird,Passerine,Pipit sp.,Bisbita spp
ANTTRI,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Pipit des arbres,Anthus trivialis,Land Bird,Other bird,Passerine,Tree pipit,Pepito
APUAPU,behavBird,Oiseau terrestre,Apodidae,Martinet,Martinet noir,Apus apus,Land Bird,Other bird,Swift,Common swift,Vencejo comun
APUSPP,behavBird,Oiseau terrestre,Apodidae,Martinet,Martinet ind.,Apus sp.,Land Bird,Other bird,Swift,Swift sp.,Vencejo spp
ARDCIN,behavBird,Oiseau terrestre,Ardeidae,Echassier,Heron cendre,Ardea cinerea,Land Bird,Ardeidae,Shorebird,Grey heron,Garza real
ARDPUR,behavBird,Oiseau terrestre,Ardeidae,Echassier,Heron pourpre,Ardea purpurea,Land Bird,Ardeidae,Shorebird,Purple heron,Garza pourpre
ARDSPP,behavBird,Oiseau terrestre,Ardeidae,Echassier,Heron ind.,Ardea sp.,Land Bird,Ardeidae,Shorebird,Heron sp.,Garza spp
AREINT,behavBird,Oiseau terrestre,Scolopacidae,Limicole,Tournepierre a collier,Arenaria interpres,Land Bird,Scolopacidae,Shorebird,Turnstone,Vuelvepiedras comun
ASIFLA,behavBird,Oiseau terrestre,Autre oiseau,Rapace,Hibou des marais,Asio flammeus,Land Bird,Other bird,Bird of prey,Short-eared owl,Lechuza campestre
ASIOTU,behavBird,Oiseau terrestre,Autre oiseau,Rapace,Hibou moyen-duc,Asio otus,Land Bird,Other bird,Bird of prey,Long-eared owl,Buho chico
AYTMAR,behavBird,Oiseau terrestre,Anatidae,Canard,Fuligule milouinan,Aythya marila,Land Bird,Anatidae,Duck,Greater Scaup,Porran bastardo
BIRSPP,behavBird,Oiseau terrestre,Autre oiseau,Oiseau ind.,Oiseau ind.,Aves sp.,Land Bird,Other bird,Bird unidentif.,Bird unidentif.,
BRACAN,behavBird,Oiseau terrestre,Anatidae,Oie,Bernache du Canada,Branta canadensis,Coastal Bird,Anatidae,Goose,Canada Goose,Barnacla Canadiense
BUBIBI,behavBird,Oiseau terrestre,Ardeidae,Echassier,Heron garde-boeufs,Bubulcus ibis,Land Bird,Ardeidae,Shorebird,Cattle egret,Garcilla bueyera
CALALB,behavBird,Oiseau terrestre,Scolopacidae,Limicole,Becasseau sanderling,Calidris alba,Land Bird,Scolopacidae,Shorebird,Sanderling,Correlimos tridactilo
CALALP,behavBird,Oiseau terrestre,Scolopacidae,Limicole,Becasseau variable,Calidris alpina,Land Bird,Scolopacidae,Shorebird,Dunlin,Correlimos comun
CALCAN,behavBird,Oiseau terrestre,Scolopacidae,Limicole,Becasseau maubeche,Calidris canutus,Land Bird,Scolopacidae,Shorebird,Red Knot,Correlimos gordo
CALMAR,behavBird,Oiseau terrestre,Scolopacidae,Limicole,Becasseau violet,Calidris maritima,Land Bird,Scolopacidae,Shorebird,Purple Sandpiper,Correlimos Oscuro
CALMIN,behavBird,Oiseau terrestre,Scolopacidae,Limicole,Becasseau minute,Calidris minuta,Land Bird,Scolopacidae,Shorebird,Little Stint,Correlimos menudo
CALSPP,behavBird,Oiseau terrestre,Scolopacidae,Limicole,Becasseau ind.,Calidris sp.,Land Bird,Scolopacidae,Shorebird,Sandpiper sp.,Correlimos spp
CAPEUR,behavBird,Oiseau terrestre,Caprimulgidae,Engoulevent,Engoulevent d'Europe,Caprimulgus europaeus,Land Bird,Other bird,Caprimulgidae,European Nightjar,Chotacabras gris
CARCAN,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Linotte melodieuse,Carduelis cannabina,Land Bird,Other bird,Passerine,Common Linnet,Fringilido
CARCHL,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Verdier d'Europe,Carduelis chloris,Land Bird,Other bird,Passerine,European Greenfinch,Verderon comun
CARLIS,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Chardonneret,Carduelis carduelis,Land Bird,Other bird,Passerine,European Goldfinch,Jilguero
CARSPI,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Tarin des aulnes,Carduelis spinus,Land Bird,Other bird,Passerine,Eurasian Siskin,piafo
CASALB,behavBird,Oiseau terrestre,Ardeidae,Echassier,Grande aigrette,Casmerodius albus,Land Bird,Ardeidae,Shorebird,Great egret,Garceta Grande
CHAALE,behavBird,Oiseau terrestre,Charadriidae,Limicole,Gravelot a collier interrompu,Charadrius alexandrinus,Land Bird,Shorebird,Shorebird,Kentish Plover,Chorlitejo Patinegro
CHAHIA,behavBird,Oiseau terrestre,Charadriidae,Limicole,Grand gravelot,Charadrius hiaticula,Land Bird,Shorebird,Shorebird,Ringed Plover,Chorlitejo grande
CHASPP,behavBird,Oiseau terrestre,Charadriidae,Limicole,Gravelot ind.,Charadrius sp.,Land Bird,Charadriidae,Shorebird,Plover sp.,Chorlitejo spp
CIRAER,behavBird,Oiseau terrestre,Autre oiseau,Rapace,Busard des roseaux,Circus aeruginosus,Land Bird,Other bird,Bird of prey,Eurasian Marsh Harrier,Aguilucho lagunero
CIRCYA,behavBird,Oiseau terrestre,Accipitridae,Rapace,Busard Saint-Martin,Circus cyaneus,Land Bird,Other bird,Bird of prey,Hen Harrier,Aguilucho Palido
CIRSPP,behavBird,Oiseau terrestre,Autre oiseau,Rapace,Busard ind.,Circus sp.,Land Bird,Other bird,Bird of prey,Harrier sp.,Aguilucho spp
CISJUN,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Cisticole des joncs,Cisticola juncidis,Land Bird,Other bird,Passerine,Zitting Cisticola,Buitron comun
COLLIV,behavBird,Oiseau terrestre,Autre oiseau,Pigeon,Pigeon domestique Biset ,Columba livia,Land Bird,Other bird,Pigeon,Rock Pigeon,Paloma bravia
COLOEN,behavBird,Oiseau terrestre,Autre oiseau,Pigeon,Pigeon colombin,Columba oenas,Land Bird,Other bird,Pigeon,Stock Pigeon,Andarrios chico
COLPAL,behavBird,Oiseau terrestre,Autre oiseau,Pigeon,Pigeon ramier,Columba palomba,Land Bird,Other bird,Pigeon,Common Wood Pigeon,Paloma torcaz
COLSPP,behavBird,Oiseau terrestre,Autre oiseau,Pigeon,Pigeon ind.,Columba sp.,Land Bird,Other bird,Pigeon,Pigeon sp.,Paloma spp
CORCOR,behavBird,Oiseau terrestre,Autre oiseau,Corbeau,Corneille noire,Corvus corone,Land Bird,Other bird,Corvidae,Carrion crow,Corneja
CYGOLO,behavBird,Oiseau terrestre,Anatidae,Oie,Cygne tubercule,Cygnus olor,Land Bird,Anatidae,Goose,Mute swan,Cisne vulgar
DELURB,behavBird,Oiseau terrestre,Autre oiseau,Hirondelle,Hirondelle de fenetre,Delichon urbica,Land Bird,Other bird,Swallow,House martin,Avion comun
EGRGAR,behavBird,Oiseau terrestre,Ardeidae,Echassier,Aigrette garzette,Egretta garzetta,Land Bird,Ardeidae,Shorebird,Little egret,Garceta comun
EGRSPP,behavBird,Oiseau terrestre,Ardeidae,Echassier,Aigrette ind.,Egretta sp.,Land Bird,Ardeidae,Shorebird,Egret sp.,Garceta spp
EMBSPP,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Bruant ind.,Emberiza sp.,Land Bird,Other bird,Passerine,Hammer sp.,Escribano spp
ERIRUB,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Rouge gorge,Erithacus rubecula,Land Bird,Other bird,Passerine,European robin,Petirrojo spp
FALCOL,behavBird,Oiseau terrestre,Autre oiseau,Rapace,Faucon emerillon,Falco columbarius,Land Bird,Other bird,Bird of prey,Merlin,Esmerejon
FALELE,behavBird,Oiseau terrestre,Falconidae,Rapace,Faucon d'Eleonore,Falco eleonorae,Land Bird,Falconidae,Bird of prey,Eleonora's falcon,Halcon de Eleonora
FALPER,behavBird,Oiseau terrestre,Autre oiseau,Rapace,Faucon pelerin,Falco peregrinus,Land Bird,Other bird,Bird of prey,Peregrine falcon,Halcon peregrino
FALSPP,behavBird,Oiseau terrestre,Autre oiseau,Rapace,Faucon ind.,Falco sp.,Land Bird,Other bird,Bird of prey,Falcon sp.,Halcon spp
FALSUB,behavBird,Oiseau terrestre,Autre oiseau,Rapace,Faucon hobereau,Falco subbuteo,Land Bird,Other bird,Bird of prey,Eurasian hobby,Alcotan europeo
FALTIN,behavBird,Oiseau terrestre,Autre oiseau,Rapace,Faucon crecerelle,Falco tinnunculus,Land Bird,Other bird,Bird of prey,Common kestrel,Cernicalo comun
FICHYP,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Gobemouche noir,ficedula hypoleuca,Land Bird,Other bird,Passerine,Pied Flycatcher,Papamoscas cerrojillo
FICPAR,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Gobemouche nain,Ficedula parva,Land Bird,Other bird,Passerine,Red-breasted Flycatcher,Papamoscas papirrojo
FRICOE,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Pinson des arbres,Fringilla coelebs,Land Bird,Other bird,Passerine,Chaffinch,Pinzon
FRIMON,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Pinson du Nord,Fringilla montifringilla,Land Bird,Other bird,Passerine,Brambling,Pinsono glacio
FULATR,behavBird,Oiseau terrestre,Anatidae,Canard,Foulque macroule,Fulica atra,Land Bird,Anatidae,Duck,coot sp,
GALCHL,behavBird,Oiseau terrestre,Rallidae,Canard,Poule d'eau,Gallinula chloropus,Land Bird,Rallidae,Duck,Common moorhen,Polla de agua
GALGAL,behavBird,Oiseau terrestre,Scolopacidae,Limicole,Becassine des marais,Gallinago gallinago,Land Bird,Shorebird,Shorebird,Common snipe,
HAEOST,behavBird,Oiseau terrestre,Haematopodidae,Limicole,Huitrier pie,Haematopus ostralegus,Land Bird,Haematopodidae,Shorebird,Eurasian Oystercatcher,Ostralego pica
HALALB,behavBird,Oiseau terrestre,Accipitridae,Rapace,Pygargue a queue blanche,Haliaeetus albicilla,Land Bird,Accipitridae,Bird of prey,White-tailed eagle,Pigargo Europeo
HIPSPP,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Hypolais ind.,Hippolais sp.,Land Bird,Other bird,Passerine,Warbler sp.,Zarcero spp
HIRRUS,behavBird,Oiseau terrestre,Autre oiseau,Hirondelle,Hirondelle rustique,Hirundo rustica,Land Bird,Other bird,Swallow,Barn swallow,Golondrina comun
HIRSPP,behavBird,Oiseau terrestre,Autre oiseau,Hirondelle,Hirondelle ind.,Hirundo sp.,Land Bird,Other bird,Swallow,Swallow sp.,Golondrina spp
LBIRSP,behavBird,Oiseau terrestre,Autre oiseau,Oiseau ind.,Oiseau terrestre ind.,Aves sp.,Land Bird,Other bird,Bird unidentif.,Land Bird unidentif.,Ave terrestre
LANCOL,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Pie grieche ecorcheur,Lanius collurio,Land Bird,Other bird,Passerine,Red-backed Shrike,Alcaudon dorsirrojo
LANEXC,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Pie grieche grise,Lanius excubitor,Land Bird,Other bird,Passerine,Great Grey Shrike,Alcaudon real
LIMICO,behavBird,Oiseau terrestre,Limicole,Limicole,Limicole ind.,Limicole sp.,Land Bird,Shorebird,Shorebird,Shorebird unidentif.,Limicola spp
LIMLAP,behavBird,Oiseau terrestre,Scolopacidae,Limicole,Barge rousse,Limosa lapponica,Land Bird,Shorebird,Shorebird,Bar-tailed Godwit,Aguja colipinta
LOCLUS,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Locustelle luscinioide,Locustella luscinioides,Land Bird,Other bird,Passerine,Savi's warbler,Buscarla unicolor
LOXCUR,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Bec croise des sapins,Loxia curvirostra,Land Bird,Other bird,Passerine,Common Crossbill,Piquituerto escoces
LUSMEG,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Rossignol philomele,Luscinia megarhynchos,Land Bird,Other bird,Passerine,Common Nightingale,Ruisenor
MILMIG,behavBird,Oiseau terrestre,Autre oiseau,Rapace,Milan noir,Milvus migrans,Land Bird,Other bird,Bird of prey,Black Kite,Milano negro
MOTALB,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Bergeronnette grise,Motacilla alba,Land Bird,Other bird,Passerine,White Wagtail,Lavandera blanca
MOTCIN,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Bergeronnette des ruisseaux,Motacilla cinerea,Land Bird,Other bird,Passerine,Grey Wagtail,Lavandera cascadena
MOTFLA,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Bergeronnette printaniere,Motacilla flava,Land Bird,Other bird,Passerine,Yellow Wagtail,Lavandera boyera
MOTSPP,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Bergeronnette ind.,Motacilla spp,Land Bird,Other bird,Passerine,Wagtail sp.,Lavandera spp
MOTYAR,behavBird,Oiseau terrestre,Motacillidae,Passereau,Bergeronnette de Yarrell,Motacilla Yarelli,Land Bird,Other bird,Passerine,Pied wagtail,Lavandera yarrellii
MUSSTR,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Gobemouche gris,Muscicapa striata,Land Bird,Other bird,Passerine,Spotted Flycatcher,Papamoscas gris
NUMARQ,behavBird,Oiseau terrestre,Scolopacidae,Limicole,Courlis cendre,Numenius arquata,Land Bird,Shorebird,Shorebird,Eurasian Curlew,Zarapito real
NUMPHA,behavBird,Oiseau terrestre,Scolopacidae,Limicole,Courlis corlieu,Numenius phaeopus,Land Bird,Shorebird,Shorebird,Whimbrel,Zarapito trinador
NUMSPP,behavBird,Oiseau terrestre,Scolopacidae,Limicole,Courlis ind.,Numenius sp.,Land Bird,Shorebird,Shorebird,Curlew sp.,Zarapito spp
OENHIS,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Traquet oreillard,Oenanthe hispanica,Land Bird,Other bird,Passerine,Black-eared Wheatear,Collalba rubia
OENOEN,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Traquet motteux,Oenanthe oenanthe,Land Bird,Other bird,Passerine,Northern Wheatear,Collalba gris
ORIORI,behavBird,Oiseau terrestre,Sturnidae,Passereau,Loriot d'Europe,Oriolus oriolus,Land Bird,Other bird,Passerine,Eurasian Golden Oriole,Oropendola europea
PANHAL,behavBird,Oiseau terrestre,Autre oiseau,Rapace,Balbuzard pecheur,Pandion haliaetus,Land Bird,Other bird,Bird of prey,Osprey,Aguila pescadora
PASSER,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Passereau ind.,Passeriformes sp.,Land Bird,Other bird,Passerine,Passerine bird sp.,Paseriforme spp
PERAPI,behavBird,Oiseau terrestre,Autre oiseau,Rapace,Bondree apivore,Pernis apivorus,Land Bird,Other bird,Bird of prey,European Honey-buzzard,Abejero europeo
PHIPUG,behavBird,Oiseau terrestre,Scolopacidae,Limicole,Combattant varie,Philomachus pugnax,Land Bird,Shorebird,Shorebird,Ruff,Combatiente
PHOENI,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Rouge queue a front blanc,Phoenicurus phoenicurus,Land Bird,Other bird,Passerine,Common Redstart,Colirrojo real
PHOOCH,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Rouge queue noir,Phoenicurus ochruros,Land Bird,Other bird,Passerine,Black Redstart,Colirojo tizon
PHOROS,behavBird,Oiseau terrestre,Phoenicopteridae,Echassier,Flamant rose,Phoenicopterus roseus,Land Bird,Phoenicopteridae,Shorebird,Greater flamingo,
PHYCOL,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Pouillot veloce,Phylloscopus collybita,Land Bird,Other bird,Passerine,Common Chiffchaff,Mosquitero comun
PHYINO,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Pouillot a grands sourcils,Phyloscopus inornatus,Land Bird,Other bird,Passerine,Yellow-browed Warbler,Mosquitero bilistado
PHYPRO,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Pouillot de Pallas,Phylloscopus proregulus,Land Bird,Other bird,Passerine,Pallas's Warbler,Mosquitero de Pallas
PHYSPP,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Pouillot ind.,Phylloscopus sp.,Land Bird,Other bird,Passerine,Chiffchaff sp.,Mosquitero spp
PHYTRO,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Pouillot fitis,Phylloscopus trochilus,Land Bird,Other bird,Passerine,Willow Warbler,Mosquitero musical
PLALEU,behavBird,Oiseau terrestre,Ardeidae,Echassier,Spatule blanche,Platalea leucorodia,Land Bird,Ardeidae,Shorebird,Eurasian Spoonbill,Espatula comun
PLENIV,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Bruant des neiges,Plectrophenax nivalis,Land Bird,Other bird,Passerine,Snow Bunting,Escribano Nival
PLUAPR,behavBird,Oiseau terrestre,Charadriidae,Limicole,Pluvier dore,Pluvialis apricaria,Land Bird,Charadriidae,Shorebird,European gloden plover,Pluvilitos doratos
PLUSPP,behavBird,Oiseau terrestre,Charadriidae,Limicole,Pluvier ind.,Pluvialis sp.,Land Bird,Charadriidae,Shorebird,Plover sp.,Chorlito spp
PLUSQU,behavBird,Oiseau terrestre,Charadriidae,Limicole,Pluvier argente,Pluvialis squatarola,Land Bird,Charadriidae,Shorebird,Grey Plover,Chorlito gris
PRUMOD,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Accenteur mouchet,Prunella modularis,Land Bird,Other bird,Passerine,Hedge Accentor,Acentor comun
RAPSPP,behavBird,Oiseau terrestre,Autre oiseau,Rapace,Rapace ind.,Falconiformes sp.,Land Bird,Other bird,Bird of prey,Bird of prey unidentif.,Rapaz spp
REGIGN,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Roitelet triple bandeau,Regulus ignicapilla,Land Bird,Other bird,Passerine,Common Firecrest,Reyezuelo
REGREG,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Roitelet huppe,Regulus regulus,Land Bird,Other bird,Passerine,Goldcrest,Reyezuelo sencillo
RIPRIP,behavBird,Oiseau terrestre,Autre oiseau,Hirondelle,Hirondelle de rivage,Riparia riparia,Land Bird,Other bird,Swallow,Sand Martin,Hirundo
SAXTOR,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Tarier patre,Saxicola torquata,Land Bird,Other bird,Passerine,European Stonechat,Tarabilla comun
SERSER,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Serin cini,Serinus serinus,Land Bird,Other bird,Passerine,European Serin,Verdecillo
STRDEC,behavBird,Oiseau terrestre,Autre oiseau,Tourterelle,Tourterelle turque,Streptopelia decaocto,Land Bird,Other bird,Dove,Eurasian Collared Dove,Tortola turca
STRSPP,behavBird,Oiseau terrestre,Autre oiseau,Tourterelle,Tourterelle ind.,Streptopelia sp.,Land Bird,Other bird,Dove,Dove sp.,Tortola spp
STRTUR,behavBird,Oiseau terrestre,Autre oiseau,Tourterelle,Tourterelle bois,Streptopelia turtur,Land Bird,Other bird,Dove,European Turtle Dove,Tortola comun
STUSPP,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Etourneau ind.,Sturnus sp.,Land Bird,Other bird,Passerine,Starling sp.,Estornino spp
STUVUL,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Etourneau sansonnet,Sturnus vulgaris,Land Bird,Other bird,Passerine,Common Starling,Estornino
SYLATR,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Fauvette a tete noire,Sylvia atricapilla,Land Bird,Other bird,Passerine,Blackcap,Curruca capirotada
SYLBOR,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Fauvette des jardins,Sylvia borin,Land Bird,Other bird,Passerine,Garden Warbler,Curruca mosquitera
SYLCAN,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Fauvette passerinette,Sylvia cantillans,Land Bird,Other bird,Passerine,Subalpine Warbler,Curruca carrasquena
SYLCOM,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Fauvette grisette,Sylvia communis,Land Bird,Other bird,Passerine,Common Whitethroat,Curruca zarcera
SYLMEL,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Fauvette melanocephale,Sylvia melanocephala,Land Bird,Other bird,Passerine,Sardinian Warbler,Curruca cabecinegra
SYLSPP,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Fauvette ind.,Sylvia sp.,Land Bird,Other bird,Passerine,Warbler sp.,Curruca spp
TRISPP,behavBird,Oiseau terrestre,Scolopacidae,Limicole,Chevalier ind.,Tringa sp.,Land Bird,Shorebird,Shorebird,Shank sp..,Archibebe spp
TRITOT,behavBird,Oiseau terrestre,Scolopacidae,Limicole,Chevalier gambette,Tringa totanus,Land Bird,Shorebird,Shorebird,Common Redshank,Archibebe comun
TROTRO,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Troglodyte mignon,Troglodytes troglodytes,Land Bird,Other bird,Passerine,Eurasian wren,Chochin
TURDUS,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Grive ind.,Turdus sp.,Land Bird,Other bird,Passerine,Trush sp.,Zorzal spp
TURILI,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Grive mauvis,Turdus iliacus,Land Bird,Other bird,Passerine,Redwing,Alondra comun
TURMER,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Merle noir,Turdus merula,Land Bird,Other bird,Passerine,Common Blackbird,Mirlo comun
TURPHI,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Grive musicienne,Turdus philomelos,Land Bird,Other bird,Passerine,Song Thrush,Grive musicienne
TURPIL,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Grive Litorne,Turdus pilaris,Land Bird,Other bird,Passerine,Fieldfare,Zorzal real
UPUEPO,behavBird,Oiseau terrestre,Autre oiseau,Huppe,Huppe fasciee,Upupa epops,Land Bird,Other bird,Hoopoe,Hoopoe,Abubilla
VANVAN,behavBird,Oiseau terrestre,Charadriidae,Limicole,Vanneau huppe,Vanellus vanellus,Land Bird,Charadriidae,Shorebird,Northern Lapwing,Avefria Palustria
TURVIS,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Grive draine,Turdus viscivorus,Land Bird,Other bird,Passerine,Mistle Trush,Zorzal Charlo
AEGCAU,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Mesange a longue queue,Aegithalos caudatus,Land Bird,Other bird,Passerine,Long-tailed Tit,Mito comun
EMBSCH,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Bruant des roseaux,Emberiza schoenicus,Land Bird,Other bird,Passerine,Reed Bunting,Escribano Palustre
PARMAJ,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Mesange charbonniere,Parus major,Land Bird,Other bird,Passerine,Great Tit,Carbonero comun
PASDOM,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Moineau domestique,Passer domesticus,Land Bird,Other bird,Passerine,House Sparrow,Gorrion comun
AYTFUL,behavBird,Oiseau terrestre,Anatidae,Grand canard,Fuligule morillon,Aythya fuligula,Land Bird,Anatidae,Duck,Tufted Duck,Porran monudo
BUTBUT,behavBird,Oiseau terrestre,Autre oiseau,Rapace,Buse variable,Buteo buteo,Land Bird,Other bird,Bird of prey,Common buzzard,Busardo ratonero
ALCATT,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Martin pecheur d Europe,Alcedo atthis,Land Bird,Other bird,Passerine,Common Kingfisher,Martin pescador comun
OTUSCO,behavBird,Oiseau terrestre,Autre oiseau,Rapace,Hibou petit-duc,Otus scops,Land Bird,Other bird,Bird of prey,Eurasian Scops Owl,Autillo europeo
SYLCUR,behavBird,Oiseau terrestre,Autre oiseau,Passereau,Fauvette babillarde,Sylvia curruca,Land Bird,Other bird,Passerine,Lesser Whitethroat,Curruca zarcerilla
